Product_ID,Category,Ingredient,Brand,Store,Link,Serving_Form,Typical_Use,Timing,Avoid_If,Third_Party_Tested,NSF_Certified,Price,Est_Monthly_Cost,Notes,Evidence_Link,NCAA_Risk_Tier,Athlete_Safe_OK
IBX-011,Collagen,Collagen Peptides + Vitamin C,Momentous,Amazon,https://www.amazon.com/dp/B09HIJKLMN,Powder,joints;recovery;tendons;ligaments,45 min Pre-Training,none known,YES,YES,$44.99,$44.99,15g collagen with 50mg vitamin C taken 45 min pre-activity. Stimulates collagen synthesis in connective tissue.,https://pubmed.ncbi.nlm.nih.gov/28606246/,green,Y
IBX-012,Ashwagandha,Ashwagandha KSM-66,Thorne,Amazon,https://www.amazon.com/dp/B07BPBLH7T,Capsule,sleep;stress;recovery;strength;focus,PM - With Dinner,pregnancy,YES,YES,$29.99,$29.99,300-600mg KSM-66 extract. Reduces cortisol and perceived stress. Improves sleep quality and recovery time.,https://pubmed.ncbi.nlm.nih.gov/31517876/,green,Y
IBX-013,Melatonin,Melatonin Low-Dose,Thorne,Amazon,https://www.amazon.com/dp/B00PUP59VO,Capsule,sleep;travel;recovery,PM - 30 min before bed,none known,YES,YES,$9.99,$9.99,0.5-1mg only. Low dose is more effective than high dose. Best for travel across time zones and late-night practice schedules.,https://pubmed.ncbi.nlm.nih.gov/27717415/,green,Y
IBX-014,Beta-Alanine,Beta-Alanine,Thorne,Amazon,https://www.amazon.com/dp/B0013P0R8W,Powder,endurance;strength;performance,Pre-Training,tingling sensation normal,YES,YES,$24.99,$24.99,3.2g daily. Buffers lactic acid in repeated high-intensity efforts. Best for wrestling rowing lacrosse basketball.,https://pubmed.ncbi.nlm.nih.gov/28067927/,green,Y
IBX-015,Curcumin,Curcumin Phytosome,Thorne,Amazon,https://www.amazon.com/dp/B0013OUJIP,Capsule,joints;inflammation;recovery,With Meals,blood thinners,YES,YES,$37.99,$37.99,500-1000mg with piperine or phytosome form for bioavailability. Potent anti-inflammatory for chronic joint stress.,https://pubmed.ncbi.nlm.nih.gov/29480523/,green,Y
IBX-016,Beetroot,Beetroot Nitrate Extract,Beet It Sport,Amazon,https://www.amazon.com/dp/B00BQRPNBI,Powder,endurance;cardiovascular;performance,2-3 hrs Pre-Training,low blood pressure,YES,NO,$34.99,$34.99,400mg nitrate. Increases nitric oxide improving blood flow and O2 efficiency. Strong evidence for swimming rowing soccer.,https://pubmed.ncbi.nlm.nih.gov/28150870/,green,Y
IBX-017,Fiber,Psyllium Husk Fiber,Thorne,Amazon,https://www.amazon.com/dp/B0013OUJJQ,Powder,gut;general health;digestion,With Meals - Separate from other supps,GI sensitive,YES,YES,$19.99,$19.99,5-10g daily. Supports gut health and microbiome diversity. Take separately from other supplements as it can reduce absorption.,https://pubmed.ncbi.nlm.nih.gov/29757343/,green,Y
IBX-018,Vitamin C,Vitamin C,Thorne,Amazon,https://www.amazon.com/dp/B0013OUJKR,Capsule,immunity;recovery;general health,AM + PM,GI sensitivity at high doses,YES,YES,$17.99,$17.99,500-1000mg daily split dose. Antioxidant support during high training load. Supports iron absorption and immune function.,https://pubmed.ncbi.nlm.nih.gov/29099763/,green,Y
IBX-019,Iron,Iron Bisglycinate,Thorne,Amazon,https://www.amazon.com/dp/B0013OUJLS,Capsule,endurance;energy;general health,AM - Empty Stomach,hemochromatosis;GI sensitive,YES,YES,$19.99,$19.99,Use only if blood work confirms deficiency. Bisglycinate form is gentler on GI. Critical for endurance athletes especially females.,https://pubmed.ncbi.nlm.nih.gov/29959843/,green,Y
IBX-020,B-Complex,B-Complex,Thorne,Amazon,https://www.amazon.com/dp/B0013OUJMT,Capsule,energy;recovery;focus;general health,AM - With Food,none known,YES,YES,$22.99,$22.99,Full spectrum B vitamins. Supports energy metabolism and red blood cell production. Important during periods of high stress.,https://pubmed.ncbi.nlm.nih.gov/28361446/,green,Y
IBX-021,Creatine,Creatine HCL,Kion,Amazon,https://www.amazon.com/dp/B09ABCXYZ1,Capsule,strength;power;recovery,Post-Training,kidney disease,YES,NO,$39.99,$39.99,Alternative to monohydrate for athletes with GI sensitivity. Lower dose required (2-3g). Less bloating.,https://pubmed.ncbi.nlm.nih.gov/28615996/,green,Y
IBX-022,Protein,Plant Protein Blend,Momentous,Amazon,https://www.amazon.com/dp/B09ABCXYZ2,Powder,strength;recovery;muscle,Post-Training within 30 min,soy allergy,YES,YES,$54.99,$54.99,Pea + rice blend for complete amino acid profile. NSF certified. For athletes avoiding dairy or with lactose intolerance.,https://pubmed.ncbi.nlm.nih.gov/28698222/,green,Y
IBX-023,Adaptogen,Rhodiola Rosea,Thorne,Amazon,https://www.amazon.com/dp/B0013OUJNU,Capsule,stress;focus;endurance;energy,AM - Before Training,bipolar disorder,YES,YES,$24.99,$24.99,200-400mg. Reduces mental and physical fatigue under stress. Improves endurance performance and cognitive function.,https://pubmed.ncbi.nlm.nih.gov/29325481/,green,Y
IBX-024,Glutamine,L-Glutamine,Thorne,Amazon,https://www.amazon.com/dp/B0013OUJOV,Powder,gut;recovery;immunity,Post-Training + Before Bed,none known,YES,YES,$29.99,$29.99,5-10g daily. Supports gut barrier integrity and immune function during heavy training. Especially useful during preseason.,https://pubmed.ncbi.nlm.nih.gov/28642676/,green,Y
IBX-025,Vitamin D,Vitamin D3,Klean Athlete,Amazon,https://www.amazon.com/dp/B00BPQSRK2,Softgel,general health;immunity;bone;strength,AM - With Fat,hypercalcemia,YES,YES,$19.99,$19.99,NSF Certified for Sport alternative to D3+K2 combo. 2000 IU standard dose. Test blood levels to confirm dosing.,https://pubmed.ncbi.nlm.nih.gov/31690219/,green,Y
IBX-026,Magnesium,Magnesium Malate,Klean Athlete,Amazon,https://www.amazon.com/dp/B00BPQSRK3,Capsule,energy;muscle;recovery,AM or PM,GI sensitivity,YES,YES,$24.99,$24.99,NSF Certified alternative magnesium form. Malate supports energy production. Good for athletes who train in morning.,https://pubmed.ncbi.nlm.nih.gov/28392498/,green,Y
IBX-027,Omega-3,Algae Omega-3,Thorne,Amazon,https://www.amazon.com/dp/B07BPBLH7V,Softgel,recovery;inflammation;joints;general health,With Meals,none known,YES,YES,$39.99,$39.99,Plant-based DHA/EPA from algae. For athletes avoiding fish products. Same anti-inflammatory benefits as fish oil.,https://pubmed.ncbi.nlm.nih.gov/31215861/,green,Y
IBX-028,Electrolytes,Electrolyte Capsules,Klean Athlete,Amazon,https://www.amazon.com/dp/B00BPQSRK4,Capsule,endurance;hydration;cramps,During or Post Training,hyperkalemia,YES,YES,$24.99,$24.99,NSF Certified capsule form electrolytes. Convenient for travel and away games. No sugar or artificial colors.,https://pubmed.ncbi.nlm.nih.gov/29735042/,green,Y
IBX-029,Nootropic,Lion's Mane Mushroom,Host Defense,Amazon,https://www.amazon.com/dp/B01E84DH22,Capsule,focus;recovery;general health,AM,none known,YES,NO,$29.99,$29.99,500-1000mg. Supports nerve growth factor and cognitive function. Emerging evidence for athlete focus and recovery.,https://pubmed.ncbi.nlm.nih.gov/30844119/,green,Y
IBX-030,Zinc,Zinc Picolinate,Thorne,Amazon,https://www.amazon.com/dp/B0013OUJPW,Capsule,immunity;recovery;strength,PM - With Food,nausea on empty stomach,YES,YES,$14.99,$14.99,15-30mg zinc picolinate. Highly bioavailable form. Important for testosterone production and immune function.,https://pubmed.ncbi.nlm.nih.gov/30999174/,green,Y
